City;ID;ICAO Code;IATA Code;Type;Airport Name;Latitude (Degrees);Longitude (Degrees);Continent;Local_code
Świecie;43147;PL-0029;--;small_airport;Osie  (Lipinki) Highway Strip;53.60829926;18.45059967;EU;--
Swift Current;1982;CYYN;YYN;medium_airport;Swift Current Airport;50.29190063;-107.6910019;NA;--
Swindon;44081;GB-0006;--;small_airport;Draycott Farm;51.49340057;-1.743819952;EU;--
Swindon, Wiltshire, UK;307908;GB-0084;--;small_airport;Redlands airfield;51.56083333;-1.704444444;EU;--
Swink;7020;09CO;--;small_airport;Cottonwood Field;38.05559921;-103.6529999;NA;09CO
Swordlestown;29906;EIGN;--;small_airport;Gowran Grange Aerodrome;53.17860031;-6.635280132;EU;--
SWYX;310848;SWYX;--;small_airport;Horizonte Azul Airport;-13.181;-53.27585;SA;SWYX
Sycamore;9107;26LL;--;small_airport;Anderson Airport;42.0094986;-88.71759796;NA;26LL
Sycamore;11520;4LL7;--;small_airport;Willadae Farms Airport;42;-88.66680145;NA;4LL7
Sycamore;11521;4LL8;--;small_airport;Colonial Acres Airport;42.00279999;-88.64589691;NA;4LL8
Sycamore;18207;IS47;--;small_airport;Willis Airport;42.0306015;-88.70179749;NA;IS47
Sycamore;23584;OH18;--;small_airport;Freefall Field;40.93249893;-83.14029694;NA;OH18
Sydney 2;1882;CYQY;YQY;medium_airport;Sydney / J.A. Douglas McCurdy Airport;46.1614;-60.047798;NA;--
Sydney 3;27130;YSBK;BWU;medium_airport;Sydney Bankstown Airport;-33.92440033;150.9880066;OC;--
Sydney;27145;YSSY;SYD;large_airport;Sydney Kingsford Smith International Airport;-33.94609833;151.177002;OC;--
Syktyvkar;42948;RU-0040;--;medium_airport;Syktyvkar Southwest;61.58666611;50.52000046;EU;--
Syktyvkar;26402;UUYY;SCW;medium_airport;Syktyvkar Airport;61.64699936;50.8451004;EU;--
Sylacauga;21042;KSCD;--;small_airport;Merkel Field Sylacauga Municipal Airport;33.17179871;-86.30549622;NA;SCD
Sylhet;26532;VGSY;ZYL;medium_airport;Osmany International Airport;24.96319962;91.8667984;AS;--
Sylling;334040;NO-0085;--;small_airport;Lier flyplass;59.884192;10.280081;EU;--
Sylva;18543;K24A;--;small_airport;Jackson County Airport;35.31740189;-83.2098999;NA;24A
Sylvan Grove;9495;2KS8;--;small_airport;Vonada Airport;39.11669922;-98.40029907;NA;2KS8
Sylvania;11176;46OI;--;small_airport;Kellers Strip;41.6833992;-83.76660156;NA;46OI
Sylvania;13889;76GA;--;small_airport;Landings East Sylvania Airport;32.74470139;-81.61309814;NA;76GA
Sylvania;20230;KJYL;--;small_airport;Plantation Airpark;32.64530182;-81.5970993;NA;JYL
Sylvester;7817;13GA;--;small_airport;Oak Ridge Plantation Airport;31.36660004;-83.75489807;NA;13GA
Sylvester;17516;GA42;--;small_airport;Crowe Airport;31.61680031;-83.8832016;NA;GA42
Sylvester;21130;KSYV;SYV;small_airport;Sylvester Airport;31.55850029;-83.89569855;NA;SYV
Sylvia;24671;SN95;--;small_airport;Roberts Air Field;37.97750092;-98.40419769;NA;SN95
Synopi;311221;ID-0147;--;small_airport;Synopi Airstrip;-0.8403;132.926;AS;--
