Passenger Traffic;Drop in seats offered by airlines;Reduction in billion passengers;Operation revenues loss in billion dolars
International;48% - 63%;1.105 - 1.440;195 to 250
Domestic;33% - 45%;1.190 - 1.630;110 to 145
