REGION;COUNTRY;AIRLINE;FROM;TO;FROM (AIRPORT);TO (AIRPORT);TYPE OF ADJUSTMENT;FREQUENCIES (BEFORE);FREQUENCY (AFTER);PUBLICATION DATE;STARTING DATE;ENDING DATE
Eastern Asia;China;China Southern;Wuhan;Bangkok;27200;28118;1;14;0;23/01/2020;23/01/2020;01/03/2020
Eastern Asia;China;China Southern;Wuhan;Dubai;27200;5235;2;3;1;23/01/2020;23/01/2020;01/03/2020
